Dwelling Type;Climate Zone;Construction Period;Size Factor;Heating System;Initial Age;Headcount
CID;H1;1;L;ER;0;6594
CID;H1;1;L;GB;0;5481
CID;H1;1;L;CGB;0;6851
CID;H1;1;L;OB;0;38
CID;H1;1;L;COB;0;95
CID;H1;1;L;EHP2;0;19
CID;H1;1;L;WB;0;0
CID;H1;1;L;WPB;0;0
CID;H1;1;L;EHP;0;171
CCD;H1;1;L;GB;0;5855
CCD;H1;1;L;CGB;0;6216
CCD;H1;1;L;OB;0;302
CCD;H1;1;L;COB;0;0
CCD;H1;1;L;EHP2;0;0
CCD;H1;1;L;WB;0;0
CCD;H1;1;L;WPB;0;158
CCD;H1;1;L;EHP;0;0
ID;H1;1;L;ER;0;5089
ID;H1;1;L;GB;0;18317
ID;H1;1;L;CGB;0;22897
ID;H1;1;L;OB;0;2580
ID;H1;1;L;COB;0;6450
ID;H1;1;L;EHP2;0;299
ID;H1;1;L;WB;0;4798
ID;H1;1;L;WPB;0;1391
ID;H1;1;L;EHP;0;2737
