Housing Type;Wall Investment;Um;Price including Tax
Collective dwellling;M1;0.77;71.74
Collective dwellling;M2;0.5;73.85
Collective dwellling;M3;0.38;75.96
Collective dwellling;M4;0.3;78.07
Collective dwellling;M5;0.35;194.11999999999998
Collective dwellling;M6;0.29;195.17499999999998
Collective dwellling;M7;0.25;196.23
Collective dwellling;M8;0.45;169.855
Collective dwellling;M9;0.36;177.23999999999998
Collective dwellling;M10;0.3;182.515
Collective dwellling;M11;0.26;192.01
Collective dwellling;M12;0.23;200.45
Collective dwellling;M13;0.65;151.92
Collective dwellling;M14;0.48;163.52499999999998
Collective dwellling;M15;0.38;168.79999999999998
Collective dwellling;M16;0.32;175.13
Collective dwellling;M17;0.27;180.405
Collective dwellling;M18;0.26;183.57
Individual dwelling;M1;0.77;71.74
Individual dwelling;M2;0.5;73.85
Individual dwelling;M3;0.38;75.96
Individual dwelling;M4;0.3;78.07
Individual dwelling;M5;0.35;194.11999999999998
Individual dwelling;M6;0.29;195.17499999999998
Individual dwelling;M7;0.25;196.23
Individual dwelling;M8;0.45;169.855
Individual dwelling;M9;0.36;177.23999999999998
Individual dwelling;M10;0.3;182.515
Individual dwelling;M11;0.26;192.01
Individual dwelling;M12;0.23;200.45
Individual dwelling;M13;0.65;151.92
Individual dwelling;M14;0.48;163.52499999999998
Individual dwelling;M15;0.38;168.79999999999998
Individual dwelling;M16;0.32;175.13
Individual dwelling;M17;0.27;180.405
Individual dwelling;M18;0.26;183.57
Individual dwelling;M19;0.11;288.015
